T;Cp;H-H298;S;-(G-H298)/T;H;delta Hf;log K
2150;60.728;100.518;313.668;266.915;-292.992;-397.193;96.268
2200;60.846;103.558;315.065;267.994;-289.952;-397.334;94.075
2250;60.958;106.603;316.434;269.055;-286.907;-397.479;91.978
2300;61.065;109.653;317.775;270.099;-283.857;-397.628;89.971
2350;61.166;112.709;319.089;271.128;-280.801;-397.782;88.050
2400;61.263;115.770;320.378;272.141;-277.740;-397.941;86.207
2450;61.355;118.835;321.642;273.138;-274.675;-398.104;84.440
2500;61.443;121.905;322.883;274.120;-271.605;-398.272;82.742
2550;61.527;124.979;324.100;275.089;-268.531;-398.446;81.110
2600;61.608;128.058;325.296;276.043;-265.452;-398.624;79.540
2650;61.686;131.140;326.470;276.983;-262.370;-398.807;78.029
2700;61.760;134.226;327.624;277.910;-259.284;-398.995;76.573
2750;61.832;137.316;328.758;278.824;-256.194;-399.189;75.169
2800;61.901;140.410;329.872;279.726;-253.100;-399.387;73.814
2850;61.968;143.506;330.968;280.615;-250.004;-399.591;72.507
2900;62.033;146.606;332.047;281.493;-246.904;-399.800;71.244
2950;62.095;149.710;333.108;282.359;-243.800;-400.013;70.023
3000;62.156;152.816;334.152;283.213;-240.694;-400.232;68.842
3050;62.215;155.925;335.180;284.057;-237.585;-400.457;67.700
3100;62.273;159.037;336.192;284.890;-234.473;-400.686;66.593
3150;62.329;162.152;337.189;285.712;-231.358;-400.920;65.521
3200;62.385;165.270;338.171;286.524;-228.240;-401.160;64.482
3250;62.439;168.391;339.138;287.326;-225.119;-401.404;63.475
3300;62.492;171.514;340.092;288.118;-221.996;-401.654;62.497
3350;62.544;174.640;341.032;288.901;-218.870;-401.908;61.548
3400;62.596;177.769;341.959;289.674;-215.741;-402.168;60.626
3450;62.647;180.900;342.873;290.439;-212.610;-402.432;59.730
3500;62.697;184.033;343.775;291.194;-209.477;-402.701;58.859
3550;62.748;187.169;344.665;291.941;-206.341;-402.974;58.013
3600;62.798;190.308;345.543;292.680;-203.202;-403.253;57.189
3650;62.848;193.449;346.409;293.410;-200.061;-403.536;56.387
3700;62.898;196.593;347.265;294.132;-196.917;-403.823;55.606
3750;62.948;199.739;348.109;294.846;-193.771;-404.115;54.846
3800;62.998;202.888;348.943;295.552;-190.622;-404.412;54.105
3850;63.049;206.039;349.767;296.251;-187.471;-404.712;53.383
3900;63.100;209.192;350.581;296.942;-184.318;-405.017;52.679
3950;63.151;212.349;351.385;297.626;-181.161;-405.326;51.992
4000;63.204;215.508;352.180;298.303;-178.002;-405.639;51.322
4050;63.256;218.669;352.966;298.973;-174.841;-405.956;50.667
4100;63.310;221.833;353.742;299.636;-171.677;-406.276;50.029
4150;63.364;225.000;354.510;300.293;-168.510;-406.601;49.405
4200;63.420;228.170;355.269;300.943;-165.340;-406.928;48.795
4250;63.476;231.342;356.020;301.586;-162.168;-407.260;48.200
4300;63.534;234.517;356.763;302.224;-158.993;-407.595;47.617
4350;63.592;237.695;357.497;302.855;-155.815;-407.933;47.048
4400;63.652;240.877;358.225;303.480;-152.633;-408.274;46.491
4450;63.714;244.061;358.944;304.099;-149.449;-408.618;45.946
4500;63.777;247.248;359.656;304.712;-146.262;-408.965;45.413
4550;63.841;250.438;360.361;305.320;-143.072;-409.315;44.891
4600;63.907;253.632;361.060;305.922;-139.878;-409.668;44.380
4650;63.975;256.829;361.751;306.519;-136.681;-410.023;43.880
4700;64.045;260.030;362.435;307.110;-133.480;-410.380;43.390
4750;64.116;263.234;363.113;307.696;-130.276;-410.740;42.910
4800;64.190;266.441;363.785;308.277;-127.069;-411.101;42.439
4850;64.265;269.653;364.451;308.852;-123.857;-411.465;41.977
4900;64.343;272.868;365.110;309.423;-120.642;-411.830;41.525
4950;64.423;276.087;365.764;309.989;-117.423;-412.197;41.081
5000;64.505;279.310;366.412;310.550;-114.200;-412.565;40.646
5050;64.590;282.538;367.054;311.106;-110.972;-412.935;40.219
5100;64.677;285.769;367.691;311.658;-107.741;-413.306;39.800
5150;64.767;289.005;368.322;312.205;-104.505;-413.678;39.389
5200;64.859;292.246;368.949;312.747;-101.264;-414.050;38.986
5250;64.954;295.491;369.570;313.286;-98.019;-414.424;38.589
5300;65.052;298.741;370.186;313.820;-94.769;-414.797;38.200
5350;65.153;301.997;370.797;314.349;-91.513;-415.171;37.818
5400;65.257;305.257;371.404;314.875;-88.253;-415.545;37.443
5450;65.364;308.522;372.006;315.396;-84.988;-415.919;37.074
5500;65.474;311.793;372.603;315.913;-81.717;-416.293;36.711
5550;65.587;315.070;373.196;316.427;-78.440;-416.666;36.355
5600;65.704;318.352;373.785;316.936;-75.158;-417.038;36.004
5650;65.824;321.640;374.369;317.442;-71.870;-417.409;35.660
5700;65.947;324.934;374.950;317.944;-68.576;-417.780;35.321
5750;66.075;328.235;375.526;318.442;-65.275;-418.149;34.988
5800;66.206;331.542;376.099;318.937;-61.968;-418.516;34.661
5850;66.340;334.856;376.668;319.428;-58.654;-418.882;34.338
5900;66.479;338.176;377.233;319.915;-55.334;-419.246;34.021
5950;66.621;341.503;377.795;320.399;-52.007;-419.607;33.709
6000;66.768;344.838;378.353;320.880;-48.672;;
6050;66.918;348.180;378.908;321.357;-45.330;;
6100;67.070;351.530;379.459;321.831;-41.980;;
6150;67.223;354.887;380.007;322.302;-38.623;;
6200;67.378;358.252;380.552;322.769;-35.258;;
6250;67.534;361.625;381.094;323.234;-31.885;;
6300;67.693;365.006;381.633;323.695;-28.504;;
6350;67.854;368.395;382.168;324.153;-25.115;;
6400;68.018;371.791;382.701;324.609;-21.719;;
6450;68.184;375.196;383.231;325.061;-18.314;;
6500;68.353;378.610;383.758;325.511;-14.900;;
6550;68.524;382.032;384.283;325.957;-11.478;;
6600;68.698;385.462;384.805;326.401;-8.048;;
6650;68.875;388.902;385.324;326.842;-4.608;;
6700;69.055;392.350;385.840;327.281;-1.160;;
6750;69.238;395.807;386.354;327.716;2.297;;
6800;69.423;399.274;386.866;328.149;5.764;;
6850;69.611;402.749;387.375;328.580;9.239;;
6900;69.802;406.235;387.882;329.008;12.725;;
6950;69.995;409.730;388.387;329.433;16.220;;
7000;70.192;413.234;388.889;329.856;19.724;;
7050;70.390;416.749;389.390;330.276;23.239;;
7100;70.592;420.273;389.888;330.694;26.763;;
7150;70.795;423.808;390.384;331.110;30.298;;
7200;71.001;427.353;390.878;331.523;33.843;;
7250;71.210;430.908;391.370;331.934;37.398;;
7300;71.420;434.474;391.860;332.343;40.964;;
7350;71.633;438.050;392.348;332.750;44.540;;
7400;71.847;441.637;392.835;333.154;48.127;;
7450;72.063;445.235;393.319;333.556;51.725;;
7500;72.281;448.844;393.802;333.956;55.334;;
7550;72.501;452.463;394.283;334.354;58.953;;
7600;72.722;456.094;394.762;334.750;62.584;;
7650;72.945;459.735;395.240;335.144;66.225;;
7700;73.169;463.388;395.716;335.536;69.878;;
7750;73.394;467.052;396.190;335.925;73.542;;
7800;73.620;470.728;396.663;336.313;77.218;;
7850;73.848;474.414;397.134;336.699;80.904;;
7900;74.076;478.113;397.604;337.083;84.603;;
7950;74.304;481.822;398.072;337.465;88.312;;
8000;74.534;485.543;398.538;337.846;92.033;;
8050;74.763;489.275;399.004;338.224;95.765;;
8100;74.994;493.019;399.467;338.601;99.509;;
8150;75.224;496.775;399.929;338.975;103.265;;
8200;75.455;500.542;400.390;339.348;107.032;;
8250;75.686;504.320;400.850;339.720;110.810;;
8300;75.916;508.110;401.308;340.089;114.600;;
8350;76.147;511.912;401.764;340.457;118.402;;
8400;76.377;515.725;402.220;340.824;122.215;;
8450;76.607;519.550;402.673;341.188;126.040;;
8500;76.837;523.386;403.126;341.551;129.876;;
8550;77.065;527.233;403.577;341.913;133.723;;
8600;77.294;531.092;404.027;342.273;137.582;;
8650;77.521;534.963;404.476;342.631;141.453;;
8700;77.748;538.844;404.924;342.988;145.334;;
8750;77.974;542.737;405.370;343.343;149.227;;
8800;78.198;546.642;405.815;343.696;153.132;;
8850;78.422;550.557;406.258;344.049;157.047;;
8900;78.644;554.484;406.701;344.399;160.974;;
8950;78.865;558.422;407.142;344.749;164.912;;
9000;79.085;562.370;407.582;345.097;168.860;;
9050;79.303;566.330;408.021;345.443;172.820;;
9100;79.520;570.301;408.458;345.788;176.791;;
9150;79.735;574.282;408.895;346.132;180.772;;
9200;79.949;578.274;409.330;346.474;184.764;;
9250;80.161;582.277;409.764;346.815;188.767;;
9300;80.371;586.290;410.196;347.154;192.780;;
9350;80.579;590.314;410.628;347.493;196.804;;
9400;80.785;594.348;411.058;347.830;200.838;;
9450;80.989;598.392;411.487;348.165;204.882;;
9500;81.192;602.447;411.915;348.500;208.937;;
9550;81.392;606.512;412.342;348.833;213.002;;
9600;81.590;610.586;412.768;349.165;217.076;;
9650;81.786;614.670;413.192;349.495;221.160;;
9700;81.979;618.765;413.615;349.825;225.255;;
9750;82.170;622.868;414.037;350.153;229.358;;
9800;82.359;626.982;414.458;350.480;233.472;;
9850;82.546;631.104;414.877;350.806;237.594;;
9900;82.730;635.236;415.296;351.131;241.726;;
9950;82.912;639.377;415.713;351.454;245.867;;
10000;83.091;643.527;416.129;351.776;250.017;;
